Method,Conditioning,m,NLML,logdetK,quad,relErr_alpha,relErr_logdet,relErr_quad,RMSE,Rep,Seed,ExactRMSE
nlml_vecchia_fullMF,Corr,40,415.080004906024,35.3571364716682,280.197294745763,0.108737909097039,0.0459153987792709,0.000704819713478725,NaN,2,12346,1.19495286580887
nlml_vecchia_fullMF,Corr,60,414.963131879594,34.3178735752999,281.002811589271,0.0577592067238341,0.0151724943712014,0.00358166614552844,NaN,2,12346,1.19495286580887
nlml_vecchia_fullMF,MinMax,10,406.831220482114,27.1224349259135,271.934427443698,0.367567492232137,6.80308532415004,0.0288055196568011,NaN,4,12348,1.05374447639028
nlml_vecchia_fullMF,MinMax,20,400.647924727503,15.321664484425,271.368606375964,0.270840692945138,4.2782059042261,0.0308263093854524,NaN,4,12348,1.05374447639028
nlml_vecchia_fullMF,MinMax,30,398.432933556828,5.52304331386415,276.737245205175,0.19873975690369,2.18170406480386,0.0116525973737032,NaN,4,12348,1.05374447639028
nlml_vecchia_fullMF,MinMax,40,397.072089239452,2.5974826808847,276.941117203402,0.168027259626277,1.55575443968618,0.0109244830218865,NaN,4,12348,1.05374447639028
nlml_vecchia_fullMF,MinMax,60,397.609664598253,-1.6223219012046,282.236072503094,0.123416409332798,0.652889851458993,0.00798607350111724,NaN,4,12348,1.05374447639028
nlml_vecchia_fullMF,Corr,10,401.202330735743,12.0410638670198,275.758019009849,0.308656470402647,3.57629232790952,0.0151498341334896,NaN,4,12348,1.05374447639028
nlml_vecchia_fullMF,Corr,20,396.261276768201,1.32262490494747,276.594350036838,0.178067013768905,1.28298732013632,0.012162937311389,NaN,4,12348,1.05374447639028
nlml_vecchia_fullMF,Corr,30,393.641358622508,-1.98973577378183,274.66687442418,0.12822436881141,0.574278397226875,0.0190467794699804,NaN,4,12348,1.05374447639028
nlml_vecchia_fullMF,Corr,40,394.798210509291,-3.3221161333056,278.312958557271,0.0935407913893009,0.289203811126537,0.00602504912780878,NaN,4,12348,1.05374447639028
nlml_vecchia_fullMF,Corr,60,395.898137537855,-4.13703392294565,281.327730404039,0.0572388992925574,0.114844927849036,0.00474199425319572,NaN,4,12348,1.05374447639028
nlml_vecchia_fullMF,MinMax,10,416.756436452663,40.9476354580178,277.959658852691,0.359950024361518,2.29551102718449,0.00728688773615544,NaN,5,12349,1.34524294559349
nlml_vecchia_fullMF,MinMax,20,413.377452407911,31.0751673978377,281.074158823368,0.271940525514936,1.50096386972513,0.00383632694829898,NaN,5,12349,1.34524294559349
nlml_vecchia_fullMF,MinMax,30,406.885271291923,22.4110788721302,276.753885117099,0.244907509836684,0.803668434772713,0.0115932227010439,NaN,5,12349,1.34524294559349
nlml_vecchia_fullMF,MinMax,40,407.144670219005,19.2017937555463,280.481968087848,0.16501058864196,0.545381616186451,0.00172135993999846,NaN,5,12349,1.34524294559349
nlml_vecchia_fullMF,MinMax,60,406.367687974096,14.5113670813669,283.618430272209,0.106522329509603,0.167890885548133,0.0129230111054476,NaN,5,12349,1.34524294559349
nlml_vecchia_fullMF,Corr,10,409.891687737947,28.8573579681245,276.320438913153,0.288119408009355,1.32247211189684,0.0131412449280589,NaN,5,12349,1.34524294559349
