Conditioning,m,NLML,logdetK,quad,relErr_alpha,relErr_logdet,relErr_quad,RMSE,Rep,Seed,ExactRMSE
MinMax,60,400.341591360596,-1.76027336721484,287.837877493791,0.099853708129047,0.0424909952070874,0.0279924186004648,1.0043497689736,13,12357,0.899252282789933
Corr,10,418.981714394069,33.3388470487553,290.019003144765,0.400617576853133,19.134823177553,0.0357821530605002,1.33862792970184,13,12357,0.899252282789933
Corr,20,401.66912345614,1.19939051699612,287.533277800666,0.216363697576331,1.65241413162098,0.0269045625546719,1.12031030328568,13,12357,0.899252282789933
Corr,30,398.04185336994,-1.11305704521169,282.591185190475,0.157535176255317,0.394547367762162,0.00925423182150468,1.04610367857213,13,12357,0.899252282789933
Corr,40,396.125406728273,-2.46448098504663,280.109715846977,0.107899659804825,0.340566061654819,0.000391841317805883,0.986522554900753,13,12357,0.899252282789933
Corr,60,396.190690981539,-2.73751257630744,280.513315944768,0.060747706877534,0.489082884151998,0.00183327023706019,0.896455739828562,13,12357,0.899252282789933
MinMax,10,391.399746031861,-15.2839808837657,283.477894352871,0.31156036042178,0.562051444372689,0.0124206910412899,1.34267221554584,14,12358,1.14952170872924
MinMax,20,395.466228575256,-22.3061712623639,298.633049818259,0.254782350806497,0.360836973022908,0.0665462270169709,1.33119544960586,14,12358,1.14952170872924
MinMax,30,389.226440321594,-28.7873596499666,292.634661698538,0.197101325572195,0.175124421123944,0.0451234199259107,1.31198892003479,14,12358,1.14952170872924
MinMax,40,384.095493307332,-30.4881345764668,284.073542596514,0.170855680760962,0.126390264219896,0.0145480054402601,1.18541541496566,14,12358,1.14952170872924
MinMax,60,380.307180782953,-34.8781329908289,280.886915962118,0.108051064860302,0.000598856902825322,0.00316720008098944,1.14995871009165,14,12358,1.14952170872924
Corr,10,397.782342446749,-3.32822701636564,284.287333315247,0.428604949711163,0.904632685312676,0.0153115434497839,1.24508588414045,14,12358,1.14952170872924
Corr,20,383.478626012089,-30.8428042500657,283.194477679628,0.233328849489075,0.116227527662012,0.0114084889969918,1.16529617438002,14,12358,1.14952170872924
Corr,30,382.04442292439,-33.2171879481381,282.700455202301,0.197010709420841,0.0481917247528133,0.0096441236343009,1.08406912409621,14,12358,1.14952170872924
Corr,40,384.899798370819,-34.7241898675433,289.918208014564,0.144736549735023,0.00500995693000005,0.0354218030778346,1.32201991229165,14,12358,1.14952170872924
Corr,60,380.588847541031,-35.4943309065396,282.066447393985,0.0906044603065874,0.017057733302198,0.0073798108388132,1.24938328153025,14,12358,1.14952170872924
MinMax,10,396.856991737487,-13.47738865266,292.585793533018,0.316768009983676,0.636498626920666,0.0449493209051905,1.22781656180303,15,12359,1.03476147269347
MinMax,20,400.171504959943,-22.8993980424123,308.636829367683,0.308591541546377,0.382375707517776,0.10227445208373,1.16629836254861,15,12359,1.03476147269347
MinMax,30,390.491677215309,-30.3550776416075,296.732853477608,0.245598712346695,0.181287066283694,0.05976025010488,1.09718267743187,15,12359,1.03476147269347
MinMax,40,388.272777372956,-32.6734526962889,294.613428847584,0.195957078348358,0.118757704149195,0.0521908760040003,1.04319839931649,15,12359,1.03476147269347
MinMax,60,383.050549009311,-37.1192861891045,288.614805613109,0.128902433383472,0.00115176947139421,0.0307672204001518,0.992659422425276,15,12359,1.03476147269347
Corr,10,392.141509967518,-4.97549555141495,274.652936891834,0.419774341003429,0.865804903954262,0.0190965992429482,1.1724460618632,15,12359,1.03476147269347
Corr,20,387.670691050205,-34.2267542176648,294.962557723458,0.233896034018654,0.0768632948998979,0.0534377649159607,1.11042766418859,15,12359,1.03476147269347
