"","Time","daily_mean_wind"
"156",2016-06-04,0.983958865248227
"157",2016-06-05,1.25155390070922
"158",2016-06-06,1.00640425531915
"159",2016-06-07,1.01790354609929
"160",2016-06-08,1.08885106382979
"161",2016-06-09,1.18573120567376
"162",2016-06-10,1.20585390070922
"163",2016-06-11,1.39824113475177
"164",2016-06-12,1.04634964539007
"165",2016-06-13,1.07621489361702
"166",2016-06-14,1.36858865248227
"167",2016-06-15,1.53910780141844
"168",2016-06-16,2.72572907801418
"169",2016-06-17,2.06123262411348
"170",2016-06-18,1.19436879432624
"171",2016-06-19,1.35535460992908
"172",2016-06-20,1.6920780141844
"173",2016-06-21,1.1055609929078
"174",2016-06-22,1.11791134751773
"175",2016-06-23,1.30544042553191
"176",2016-06-24,1.12251205673759
"177",2016-06-25,1.35023333333333
